date,currency,baseRate
2015-06-22,HKD,0.114174801621282
2015-06-22,HRK,0.131987065267604
2015-06-22,HUF,0.003196420009589
2015-06-22,IDR,0.000066443990706
2015-06-22,ILS,0.231229911901404
2015-06-22,INR,0.013923892006294
2015-06-22,JPY,0.007184424168403
2015-06-22,KRW,0.000800147227090
2015-06-22,MXN,0.057753393011839
2015-06-22,MYR,0.236417797531798
2015-06-22,NOK,0.113308027873775
2015-06-22,NZD,0.610016470444702
2015-06-22,PHP,0.019651384440034
2015-06-22,PLN,0.239641496321503
2015-06-22,RON,0.222841225626741
2015-06-22,RUB,0.016286114458812
2015-06-22,SEK,0.108486932748950
2015-06-22,SGD,0.661813368630046
2015-06-22,THB,0.026270162349603
2015-06-22,TRY,0.326317506934247
2015-06-22,USD,0.885034073811842
2015-06-22,ZAR,0.072144866892721
2015-06-23,AUD,0.684181718664477
2015-06-23,BGN,0.511299723898149
2015-06-23,BRL,0.284989597879677
2015-06-23,CAD,0.720513005259745
2015-06-23,CHF,0.958313368471490
2015-06-23,CNY,0.141952701359907
2015-06-23,CZK,0.036756597809307
2015-06-23,DKK,0.134021309388193
2015-06-23,GBP,1.394894685451248
2015-06-23,HKD,0.113708723733285
2015-06-23,HRK,0.132074225714852
2015-06-23,HUF,0.003217192677669
2015-06-23,IDR,0.000066309039911
2015-06-23,ILS,0.229700241185253
2015-06-23,INR,0.013875398917719
2015-06-23,JPY,0.007153075822604
2015-06-23,KRW,0.000800627692111
2015-06-23,MXN,0.057514234773106
2015-06-23,MYR,0.236155390246782
2015-06-23,NOK,0.114390299702585
2015-06-23,NZD,0.606648871633099
2015-06-23,PHP,0.019597468007133
2015-06-23,PLN,0.240240240240240
2015-06-23,RON,0.223035061111607
2015-06-23,RUB,0.016348417473189
2015-06-23,SEK,0.108397558886974
2015-06-23,SGD,0.660458358100522
2015-06-23,THB,0.026193095500026
2015-06-23,TRY,0.328860826098395
2015-06-23,USD,0.881445570736007
2015-06-23,ZAR,0.072511057936335
2015-06-24,AUD,0.687852524418765
2015-06-24,BGN,0.511299723898149
2015-06-24,BRL,0.288558649545520
2015-06-24,CAD,0.723327305605787
2015-06-24,CHF,0.957029380801991
2015-06-24,CNY,0.143804196206445
2015-06-24,CZK,0.036779579977197
2015-06-24,DKK,0.134003350083752
2015-06-24,GBP,1.408252358822701
2015-06-24,HKD,0.115129117305058
2015-06-24,HRK,0.131960939561890
2015-06-24,HUF,0.003223310985044
2015-06-24,IDR,0.000067209224332
2015-06-24,ILS,0.236177700101556
2015-06-24,INR,0.014030361702725
2015-06-24,JPY,0.007208765859285
2015-06-24,KRW,0.000807135074055
2015-06-24,MXN,0.058045042953332
2015-06-24,MYR,0.238521168753727
2015-06-24,NOK,0.114606612801559
2015-06-24,NZD,0.610463341676332
2015-06-24,PHP,0.019787873990818
2015-06-24,PLN,0.239825407103629
2015-06-24,RON,0.223189376185694
2015-06-24,RUB,0.016415509373256
2015-06-24,SEK,0.108611832172997
2015-06-24,SGD,0.666400106624017
2015-06-24,THB,0.026441735635527
2015-06-24,TRY,0.333222259246918
2015-06-24,USD,0.892538379150303
2015-06-24,ZAR,0.073254706614900
2015-06-25,AUD,0.690941753610171
2015-06-25,BGN,0.511299723898149
2015-06-25,BRL,0.290343185645433
2015-06-25,CAD,0.725005437540782
2015-06-25,CHF,0.957029380801991
2015-06-25,CNY,0.143638949137448
2015-06-25,CZK,0.036756597809307
2015-06-25,DKK,0.134014125088784
2015-06-25,GBP,1.404889013767912
2015-06-25,HKD,0.115039055759430
2015-06-25,HRK,0.131787032156036
2015-06-25,HUF,0.003214297193919
2015-06-25,IDR,0.000067035675716
2015-06-25,ILS,0.237067943672657
2015-06-25,INR,0.014024852037811
2015-06-25,JPY,0.007197869430649
2015-06-25,KRW,0.000803651793751
2015-06-25,MXN,0.057974375326106
2015-06-25,MYR,0.237067943672657
2015-06-25,NOK,0.114038088721633
2015-06-25,NZD,0.613609866846659
2015-06-25,PHP,0.019796492061607
2015-06-25,PLN,0.239975042595570
2015-06-25,RON,0.223838836038053
2015-06-25,RUB,0.016411468334072
2015-06-25,SEK,0.108556416769795
2015-06-25,SGD,0.663966536086581
2015-06-25,THB,0.026402640264026
2015-06-25,TRY,0.333756091048662
2015-06-25,USD,0.891821992330331
2015-06-25,ZAR,0.073551044424831
2015-06-26,AUD,0.690750846169787
2015-06-26,BGN,0.511299723898149
2015-06-26,BRL,0.288275822306783
2015-06-26,CAD,0.720564922899553
2015-06-26,CHF,0.951746454744456
2015-06-26,CNY,0.143719459614832
2015-06-26,CZK,0.036717459151827
2015-06-26,DKK,0.134051851256066
2015-06-26,GBP,1.403311815885490
2015-06-26,HKD,0.115119839753183
2015-06-26,HRK,0.131774875802180
2015-06-26,HUF,0.003207389826159
2015-06-26,IDR,0.000067032395416
2015-06-26,ILS,0.236691992709887
2015-06-26,INR,0.014035087719298
2015-06-26,JPY,0.007219174126480
2015-06-26,KRW,0.000803006456172
2015-06-26,MXN,0.057616962433740
2015-06-26,MYR,0.237490203529104
2015-06-26,NOK,0.114161767224157
2015-06-26,NZD,0.616865091604466
2015-06-26,PHP,0.019782785020475
2015-06-26,PLN,0.239652982481367
2015-06-26,RON,0.224441701268096
2015-06-26,RUB,0.016331330023517
2015-06-26,SEK,0.108370540552256
2015-06-26,SGD,0.665247472059606
2015-06-26,THB,0.026434047052604
2015-06-26,TRY,0.335064499916234
2015-06-26,USD,0.892379082634303
2015-06-26,ZAR,0.073730000737300
2015-06-27,AUD,0.683480281593876
2015-06-27,BGN,0.511299723898149
2015-06-27,BRL,0.284438376425747
2015-06-27,CAD,0.721969532885712
2015-06-27,CHF,0.957212596917775
2015-06-27,CNY,0.143775250528374
2015-06-27,CZK,0.036724201248623
2015-06-27,DKK,0.134033883765816
2015-06-27,GBP,1.403902849922785
2015-06-27,HKD,0.115151654729278
2015-06-27,HRK,0.131795716639209
2015-06-27,HUF,0.003198362438432
2015-06-27,IDR,0.000066999385616
2015-06-27,ILS,0.235233233751264
2015-06-27,INR,0.014035875698285
2015-06-27,JPY,0.007216048491846
2015-06-27,KRW,0.000794603056043
2015-06-27,MXN,0.057398691309838
2015-06-27,MYR,0.235760090531875
2015-06-27,NOK,0.113986093696569
2015-06-27,NZD,0.611733039701474
2015-06-27,PHP,0.019798059790141
2015-06-27,PLN,0.239480805613430
2015-06-27,RON,0.224340998317443
2015-06-27,RUB,0.016179397155662
2015-06-27,SEK,0.107943567103118
2015-06-27,SGD,0.662251655629139
2015-06-27,THB,0.026407520861941
2015-06-27,TRY,0.335030822835701
2015-06-27,USD,0.892697732547759
2015-06-27,ZAR,0.073308408474452
2015-06-28,AUD,0.683480281593876
2015-06-28,BGN,0.511299723898149
2015-06-28,BRL,0.284438376425747
2015-06-28,CAD,0.721969532885712
2015-06-28,CHF,0.957212596917775
2015-06-28,CNY,0.143775250528374
2015-06-28,CZK,0.036724201248623
2015-06-28,DKK,0.134033883765816
2015-06-28,GBP,1.403902849922785
2015-06-28,HKD,0.115151654729278
2015-06-28,HRK,0.131795716639209
2015-06-28,HUF,0.003198362438432
2015-06-28,IDR,0.000066999385616
2015-06-28,ILS,0.235233233751264
2015-06-28,INR,0.014035875698285
2015-06-28,JPY,0.007216048491846
2015-06-28,KRW,0.000794603056043
2015-06-28,MXN,0.057398691309838
2015-06-28,MYR,0.235760090531875
2015-06-28,NOK,0.113986093696569
2015-06-28,NZD,0.611733039701474
2015-06-28,PHP,0.019798059790141
2015-06-28,PLN,0.239480805613430
2015-06-28,RON,0.224340998317443
2015-06-28,RUB,0.016179397155662
2015-06-28,SEK,0.107943567103118
2015-06-28,SGD,0.662251655629139
2015-06-28,THB,0.026407520861941
2015-06-28,TRY,0.335030822835701
2015-06-28,USD,0.892697732547759
2015-06-28,ZAR,0.073308408474452
2015-06-29,AUD,0.683480281593876
2015-06-29,BGN,0.511299723898149
2015-06-29,BRL,0.284438376425747
2015-06-29,CAD,0.721969532885712
2015-06-29,CHF,0.957212596917775
2015-06-29,CNY,0.143775250528374
2015-06-29,CZK,0.036724201248623
2015-06-29,DKK,0.134033883765816
2015-06-29,GBP,1.403902849922785
2015-06-29,HKD,0.115151654729278
2015-06-29,HRK,0.131795716639209
2015-06-29,HUF,0.003198362438432
2015-06-29,IDR,0.000066999385616
2015-06-29,ILS,0.235233233751264
2015-06-29,INR,0.014035875698285
2015-06-29,JPY,0.007216048491846
2015-06-29,KRW,0.000794603056043
2015-06-29,MXN,0.057398691309838
2015-06-29,MYR,0.235760090531875
2015-06-29,NOK,0.113986093696569
2015-06-29,NZD,0.611733039701474
2015-06-29,PHP,0.019798059790141
2015-06-29,PLN,0.239480805613430
2015-06-29,RON,0.224340998317443
2015-06-29,RUB,0.016179397155662
