BetID,Date,transactionDateTime,realAmount,bonusAmount,channelUID,txCurrency,playerID,gameID,txType
7183915,2017-03-20,"42814,006540787",0,0,DESKTOP,SEK,116053877,2466,RESULT
7183916,2017-03-20,"42814,006595197",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183916,2017-03-20,"42814,006602257",0,0,DESKTOP,SEK,116053877,2466,RESULT
7183918,2017-03-20,"42814,006657731",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183918,2017-03-20,"42814,006665069","12,5",0,DESKTOP,SEK,116053877,2466,RESULT
7183921,2017-03-20,"42814,006731701",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183921,2017-03-20,"42814,006738715",5,0,DESKTOP,SEK,116053877,2466,RESULT
7183924,2017-03-20,"42814,006803553",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183924,2017-03-20,"42814,006811192","7,5",0,DESKTOP,SEK,116053877,2466,RESULT
7183928,2017-03-20,"42814,006873565",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183928,2017-03-20,"42814,006880683",0,0,DESKTOP,SEK,116053877,2466,RESULT
7183931,2017-03-20,"42814,006931574",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183931,2017-03-20,"42814,006939005",25,0,DESKTOP,SEK,116053877,2466,RESULT
7183935,2017-03-20,"42814,007015081",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183935,2017-03-20,"42814,007022257",0,0,DESKTOP,SEK,116053877,2466,RESULT
7183938,2017-03-20,"42814,00707353",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183938,2017-03-20,"42814,007080706","7,5",0,DESKTOP,SEK,116053877,2466,RESULT
7183941,2017-03-20,"42814,007153981",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183941,2017-03-20,"42814,007160914",0,0,DESKTOP,SEK,116053877,2466,RESULT
7183943,2017-03-20,"42814,007214502",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183943,2017-03-20,"42814,007221389",0,0,DESKTOP,SEK,116053877,2466,RESULT
7183946,2017-03-20,"42814,007270347",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183946,2017-03-20,"42814,007277755",0,0,DESKTOP,SEK,116053877,2466,RESULT
7183949,2017-03-20,"42814,00732853",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183949,2017-03-20,"42814,00733566",0,0,DESKTOP,SEK,116053877,2466,RESULT
7183951,2017-03-20,"42814,007389525",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183951,2017-03-20,"42814,007396759",5,0,DESKTOP,SEK,116053877,2466,RESULT
7183954,2017-03-20,"42814,00745235",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183954,2017-03-20,"42814,007459873",0,0,DESKTOP,SEK,116053877,2466,RESULT
7183956,2017-03-20,"42814,007512477",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183956,2017-03-20,"42814,00751956",25,0,DESKTOP,SEK,116053877,2466,RESULT
7183960,2017-03-20,"42814,007605833",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183960,2017-03-20,"42814,007613102",5,0,DESKTOP,SEK,116053877,2466,RESULT
7183962,2017-03-20,"42814,00767206",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183962,2017-03-20,"42814,007679074",0,0,DESKTOP,SEK,116053877,2466,RESULT
7183964,2017-03-20,"42814,007736065",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183964,2017-03-20,"42814,007742801",0,0,DESKTOP,SEK,116053877,2466,RESULT
7183965,2017-03-20,"42814,007800532",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183965,2017-03-20,"42814,007807581",0,0,DESKTOP,SEK,116053877,2466,RESULT
7183968,2017-03-20,"42814,007864502",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183968,2017-03-20,"42814,0078714",0,0,DESKTOP,SEK,116053877,2466,RESULT
7183971,2017-03-20,"42814,007961366",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183971,2017-03-20,"42814,007969375",15,0,DESKTOP,SEK,116053877,2466,RESULT
7183976,2017-03-20,"42814,008108623",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183976,2017-03-20,"42814,008115648",0,0,DESKTOP,SEK,116053877,2466,RESULT
7183978,2017-03-20,"42814,008168079",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183978,2017-03-20,"42814,00817713",0,0,DESKTOP,SEK,116053877,2466,RESULT
7183982,2017-03-20,"42814,008238854",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183982,2017-03-20,"42814,008245799",0,0,DESKTOP,SEK,116053877,2466,RESULT
7183985,2017-03-20,"42814,008297049",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183985,2017-03-20,"42814,008304132",10,0,DESKTOP,SEK,116053877,2466,RESULT
7183990,2017-03-20,"42814,008390556",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183990,2017-03-20,"42814,008397917",0,0,DESKTOP,SEK,116053877,2466,RESULT
7183993,2017-03-20,"42814,008460336",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183993,2017-03-20,"42814,008467373",20,0,DESKTOP,SEK,116053877,2466,RESULT
7184001,2017-03-20,"42814,00866272",0,0,DESKTOP,SEK,116053877,2466,WAGER
7184001,2017-03-20,"42814,008667361",0,0,DESKTOP,SEK,116053877,2466,RESULT
7184003,2017-03-20,"42814,008704514",0,0,DESKTOP,SEK,116053877,2466,WAGER
7184003,2017-03-20,"42814,00870919",5,0,DESKTOP,SEK,116053877,2466,RESULT
7184006,2017-03-20,"42814,008790764",0,0,DESKTOP,SEK,116053877,2466,WAGER
7184006,2017-03-20,"42814,008794919",0,0,DESKTOP,SEK,116053877,2466,RESULT
7184008,2017-03-20,"42814,008836493",0,0,DESKTOP,SEK,116053877,2466,WAGER
7184008,2017-03-20,"42814,008841134",10,0,DESKTOP,SEK,116053877,2466,RESULT
7184011,2017-03-20,"42814,008922303",0,0,DESKTOP,SEK,116053877,2466,WAGER
7184011,2017-03-20,"42814,008926863",5,0,DESKTOP,SEK,116053877,2466,RESULT
7184014,2017-03-20,"42814,009007685",0,0,DESKTOP,SEK,116053877,2466,WAGER
7184014,2017-03-20,"42814,009012199",5,0,DESKTOP,SEK,116053877,2466,RESULT
7184016,2017-03-20,"42814,009089421",0,0,DESKTOP,SEK,116053877,2466,WAGER
7184016,2017-03-20,"42814,009093981",5,0,DESKTOP,SEK,116053877,2466,RESULT
7184019,2017-03-20,"42814,009174155",0,0,DESKTOP,SEK,116053877,2466,WAGER
7184019,2017-03-20,"42814,009178924",5,0,DESKTOP,SEK,116053877,2466,RESULT
7184022,2017-03-20,"42814,009260336",0,0,DESKTOP,SEK,116053877,2466,WAGER
7184022,2017-03-20,"42814,009264514",0,0,DESKTOP,SEK,116053877,2466,RESULT
7184023,2017-03-20,"42814,009305266",0,0,DESKTOP,SEK,116053877,2466,WAGER
7184023,2017-03-20,"42814,009309954",10,0,DESKTOP,SEK,116053877,2466,RESULT
7184029,2017-03-20,"42814,00953515",10,0,DESKTOP,SEK,116053877,2466,WAGER
